submission_id,ID,QUD,RT,block,condition,critical_question,exp_condition,experiment_id,main_type,prompt,question,response,test_question,title,trial_name,trial_number,class_condition,prior_class,block_extended,block_mean,block_sd,response_centered
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,71525,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the first Star Wars movie, it is likely that he has seen the second Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",67,no,Greg's movie,main_trials,2,competence,0,prior,54.5,22.845443434398153,0.5471550611785839
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,71525,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the first Star Wars movie, it is likely that he has seen the second Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",67,no,Greg's movie,main_trials,2,relevance,0,prior,54.5,22.845443434398153,0.5471550611785839
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,71525,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the first Star Wars movie, it is likely that he has seen the second Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",67,no,Greg's movie,main_trials,2,prior,1,prior,54.5,22.845443434398153,0.5471550611785839
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9346,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the second Star Wars movie, it is likely that he has already seen the first Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",100,no,Greg's movie,main_trials,3,competence,0,prior,54.5,22.845443434398153,1.9916444226900456
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9346,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the second Star Wars movie, it is likely that he has already seen the first Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",100,no,Greg's movie,main_trials,3,relevance,0,prior,54.5,22.845443434398153,1.9916444226900456
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9346,prior,critical,NA,llh,73,xor,"<b>If Greg has already seen the second Star Wars movie, it is likely that he has already seen the first Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",100,no,Greg's movie,main_trials,3,prior,1,prior,54.5,22.845443434398153,1.9916444226900456
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,15852,relevance,critical,NA,llh,73,xor,<b>It is important for Kira’s mother to know whether Greg has already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",24,no,Greg's movie,main_trials,4,competence,0,relevance,79.5,28.797644831237275,-1.9272409367240424
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,15852,relevance,critical,NA,llh,73,xor,<b>It is important for Kira’s mother to know whether Greg has already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",24,no,Greg's movie,main_trials,4,relevance,0,relevance,79.5,28.797644831237275,-1.9272409367240424
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,15852,relevance,critical,NA,llh,73,xor,<b>It is important for Kira’s mother to know whether Greg has already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",24,no,Greg's movie,main_trials,4,prior,1,relevance,79.5,28.797644831237275,-1.9272409367240424
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,10954,competence,critical,NA,llh,73,xor,<b>Kira knows whether Greg has already seen both the first and the second Star Wars movies.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",68,no,Greg's movie,main_trials,5,competence,0,competence,79.5,20.302066718525932,-0.5664447939926275
