submission_id,ID,QUD,RT,age,block,comments,competence,condition,critical_question,education,endTime,exp_condition,expected,experiment_id,gender,languages,main_type,optionLeft,optionRight,prior,prompt,question,relevance,response,startDate,startTime,test_question,timeSpent,title,trial_name,trial_number
2354,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",20688,29,practice,NA,NA,example,NA,Graduated High School,1634896423769,NA,NA,73,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe went shopping without his wife Sue.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies this statement, so you should rate it as certainly true.</i> </font>",NA,0,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,NA,51.77401666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,1
2354,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",11612,29,practice,NA,NA,example,NA,Graduated High School,1634896423769,NA,NA,73,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Sue was very happy with the flowers.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story makes this rather likely, but we cannot be sure, so you might want to rate this somewhere in between certainly false and certainly true.</i></font>",NA,100,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,NA,51.77401666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,2
2354,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",6950,29,practice,NA,NA,example,NA,Graduated High School,1634896423769,NA,NA,73,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe and Sue have no children.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies the contrary, so you should rate this as certainly false.</i></font>",NA,0,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,NA,51.77401666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,3
2354,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",22954,29,practice,NA,NA,example,Joe says to his wife the next day: 'The stores were really crowded yesterday.',Graduated High School,1634896423769,NA,NA,73,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe had to wait in line at the check-out at some stores he went to yesterday.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story and the utterance imply that there might have been a line at the check-out at the stores, so you should rate this as rather true, although we cannot know for sure.</i></font>",NA,100,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,NA,51.77401666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,4
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,31194,29,test_question1,NA,0,test,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Kira and Greg know each other.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,74,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,test_true2,51.77401666666667,Greg's movie,main_trials,1
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,71525,29,pri,NA,0,critical,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,"<b>If Greg has already seen the first Star Wars movie, it is likely that he has seen the second Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,67,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,no,51.77401666666667,Greg's movie,main_trials,2
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9346,29,pri,NA,0,critical,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,"<b>If Greg has already seen the second Star Wars movie, it is likely that he has already seen the first Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,no,51.77401666666667,Greg's movie,main_trials,3
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,15852,29,rel,NA,0,critical,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>It is important for Kira’s mother to know whether Greg has already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,24,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,no,51.77401666666667,Greg's movie,main_trials,4
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,10954,29,comp,NA,0,critical,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Kira knows whether Greg has already seen both the first and the second Star Wars movies.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,68,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,no,51.77401666666667,Greg's movie,main_trials,5
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,6762,29,test_question2,NA,0,test,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Greg and Kira are colleagues at work.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,0,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,test_false2,51.77401666666667,Greg's movie,main_trials,6
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,7602,29,test_question3,NA,0,test,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Greg and Kira took midterm exams last week.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,79,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,test_uncertain1,51.77401666666667,Greg's movie,main_trials,7
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9680,29,test_question4,NA,0,test,NA,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Greg likes movies.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,test_true1,51.77401666666667,Greg's movie,main_trials,8
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,22227,29,xor,NA,0,critical,<b>Kira tells her mother: ‘Greg already saw the first or the second Star Wars movie.’</b>,Graduated High School,1634896423769,llh,NA,73,female,english,xor,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>From what Kira said we may conclude that Greg has not already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,14,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,no,51.77401666666667,Greg's movie,main_trials,9
2354,NA,Edward is in a crowded bar IDing the patrons who are drinking alcohol. There are new laws and if there is even one incident of underage drinking today Edward will close down the bar. Please move the slider all the way to the right. He talks to the owner of the bar later that night.,243811,29,attention_check,NA,NA,attention_check,NA,Graduated High School,1634896423769,NA,100,73,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,<b>Five people were drinking beer at the bar.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,100,Fri Oct 22 2021 11:01:57 GMT+0200 (South Africa Standard Time),1634893317328,NA,51.77401666666667,Underage drinking,main_trials,10
